prompt,question_type,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_k,option_l,option_m,option_n,option_o,option_p,option_q,option_r,option_s,option_t,option_u,option_v,option_w,option_x,option_y,option_z,correct_answer,points,difficulty,instructions,passage,group_label,turn_type,preparation_seconds,response_seconds,adaptive_follow_up,part_code
Choose the best option for gap 2.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,E,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 3.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,G,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 4.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,A,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 5.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,F,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Choose the best option for gap 6.,matching_unique,However,In fact,For instance,Ultimately,Thanks to,In response,Crucially,In particular,,,,,,,,,,,,,,,,,,,D,1,medium,,"Citizen science

Citizen science - research carried out with the help of volunteers - has grown rapidly over the past two decades. {{blank:1}}, the practice is far from new: amateur naturalists were recording bird migrations and rainfall long before the term was coined. What has changed is scale. {{blank:2}} smartphones and online platforms, a single project can now gather millions of observations in one season.

The appeal to researchers is obvious. They obtain data at a volume no funded team could collect alone, and across areas far wider than a research station can cover. {{blank:3}}, the benefits run in both directions: participants consistently report a better grasp of how evidence is gathered and why it is uncertain.

{{blank:4}}, the approach has its critics, and their central objection is data quality. Volunteers differ widely in training, and an enthusiastic observer may record a rare species that was never there. {{blank:5}}, most large projects now build in verification: photographs are required, records are cross-checked against known ranges, and statistical models weight observations by an observer's track record.

{{blank:6}}, citizen science is best understood not as a cheap substitute for professional research, but as a distinct method with strengths a laboratory cannot reproduce.",,,,,,Reading 2
Which text explains where you can get feedback on a draft before submitting it?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,B,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text warns that a service will not be continued automatically?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,D,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text states a time limit after which a reservation is cancelled?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text says that attendance requires no advance booking?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text tells you a document will be checked on your behalf before you commit to it?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,D,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text sets out a restriction on what you may bring into the building?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
Which text advises bringing multiple copies of a document with you?,matching_reusable,Library: extended opening,Academic Writing Centre,Careers Fair,Accommodation Office,,,,,,,,,,,,,,,,,,,,,,,C,1,medium,,"A - Library: extended opening
From 12 May until the end of the examination period, the main library will open at 07:00 and close at 02:00 daily, including weekends. Group study rooms may be booked online up to seven days in advance; bookings not claimed within fifteen minutes will be released. Silent study is enforced on floors 4 and 5. Hot food may not be brought into the building.

B - Academic Writing Centre
The centre offers free one-to-one appointments of thirty minutes with a writing tutor. Bring a printed draft and a copy of the assignment brief. Tutors will discuss structure, argument and referencing, and will help you identify recurring language errors - but they do not proofread, and they will not predict a grade. Appointments open each Monday at 09:00 and are usually taken within the day.

C - Careers Fair
Over ninety employers will attend this year's fair in the Sports Hall on 3 June, 10:00-16:00. No registration is needed. Students are advised to bring printed copies of their CV; a free CV review desk will operate near the entrance until 14:00. Employers in engineering, health and financial services are represented most heavily this year.

D - Accommodation Office
Applications for university housing for the next academic year close on 30 June. Late applications are considered only if rooms remain. Students wishing to remain in their current room must apply again; rooms are not renewed automatically. The office can also advise on private rented housing and will check a tenancy agreement before you sign it.",,,,,,Reading 3
"According to the passage, the rebound effect occurs mainly because efficiency -",mcq_single,makes a service cheaper to use,requires expensive new equipment,is usually overstated by manufacturers,reduces the quality of the service,,,,,,,,,,,,,,,,,,,,,,,A,1,medium,,"The rebound effect

When a technology becomes more efficient, the intuitive expectation is that it will consume less. A refrigerator that uses half the electricity of its predecessor should, on that reasoning, halve the household's cooling bill. Economists have known for over a century that this expectation is frequently disappointed, and the reason has a name: the rebound effect.

The mechanism is not mysterious. Efficiency lowers the cost of using a service, and when something becomes cheaper, people tend to use more of it. A driver who replaces an old car with one that travels twice as far on a litre of fuel has, in effect, halved the price of a kilometre - and may respond by driving further, or by moving further from work. The saving is not eliminated, but part of it is spent rather than banked. Economists call this the direct rebound.

The indirect rebound is harder to see and harder to measure. Money not spent on fuel does not vanish; it is spent on something else, and that something else has an energy cost of its own. A household that saves two hundred pounds a year on heating and spends it on a short flight may end the year having increased its emissions. At the level of a whole economy the effect compounds further: cheaper energy services make energy-intensive production more attractive, which is one reason the enormous efficiency gains of the industrial era were accompanied by rising, not falling, total consumption.

The size of the effect is disputed, and the dispute matters. Most estimates for household energy in wealthy countries put direct rebound somewhere between ten and thirty per cent - meaning the majority of the intended saving is still realised. A minority of researchers argue that once economy-wide effects are included, rebound can approach or even exceed one hundred per cent, a proposition known as backfire. Backfire remains contested, and the evidence for it at national scale is thin.

What follows for policy is less that efficiency fails than that it rarely works alone. Where efficiency lowers the cost of a service, a carbon price or a tax can hold that cost steady, allowing the technical gain to be kept rather than spent. Efficiency standards paired with pricing consistently outperform either instrument used by itself. The lesson is not that we should stop making things more efficient. It is that efficiency changes what a service costs, and people notice prices.",,,,,,Reading 4
